ID,Date,Open,High,Low,Close.,Adj.Close..,Volume
48,9/14/2017,158.99,159.40,158.09,158.28,157.71,23760700.00
49,9/13/2017,159.87,159.96,157.91,159.65,159.08,44907400.00
50,9/12/2017,162.61,163.96,158.77,160.86,160.28,71714000.00
51,9/11/2017,160.50,162.05,159.89,161.50,160.92,31085900.00
52,9/8/2017,160.86,161.15,158.53,158.63,158.06,28611500.00
53,9/7/2017,162.09,162.24,160.36,161.26,160.68,21928500.00
54,9/6/2017,162.71,162.99,160.52,161.91,161.33,21651700.00
55,9/5/2017,163.75,164.25,160.56,162.08,161.50,29468500.00
56,9/1/2017,164.80,164.94,163.63,164.05,163.46,16591100.00
57,8/31/2017,163.64,164.52,163.48,164.00,163.41,26785100.00
58,8/30/2017,163.80,163.89,162.61,163.35,162.76,27269600.00
59,8/29/2017,160.10,163.12,160.00,162.91,162.33,29516900.00
60,8/28/2017,160.14,162.00,159.93,161.47,160.89,25966000.00
61,8/25/2017,159.65,160.56,159.27,159.86,159.29,25480100.00
62,8/24/2017,160.43,160.74,158.55,159.27,158.70,19818900.00
63,8/23/2017,159.07,160.47,158.88,159.98,159.41,19399100.00
64,8/22/2017,158.23,160.00,158.02,159.78,159.21,21604600.00
65,8/21/2017,157.50,157.89,155.11,157.21,156.65,26368500.00
66,8/18/2017,157.86,159.50,156.72,157.50,156.94,27428100.00
67,8/17/2017,160.52,160.71,157.84,157.86,157.29,27940600.00
68,8/16/2017,161.94,162.51,160.15,160.95,160.37,27671600.00
69,8/15/2017,160.66,162.20,160.14,161.60,161.02,29465500.00
70,8/14/2017,159.32,160.21,158.75,159.85,159.28,22122700.00
71,8/11/2017,156.60,158.57,156.07,157.48,156.92,26257100.00
72,8/10/2017,159.90,160.00,154.63,155.32,154.76,40804300.00
74,8/9/2017,159.26,161.27,159.11,161.06,159.86,26131500.00
75,8/8/2017,158.60,161.83,158.27,160.08,158.88,36205900.00
76,8/7/2017,157.06,158.92,156.67,158.81,157.62,21870300.00
77,8/4/2017,156.07,157.40,155.69,156.39,155.22,20559900.00
78,8/3/2017,157.05,157.21,155.02,155.57,154.41,27097300.00
79,8/2/2017,159.28,159.75,156.16,157.14,155.96,69936800.00
80,8/1/2017,149.10,150.22,148.41,150.05,148.93,35368600.00
81,7/31/2017,149.90,150.33,148.13,148.73,147.62,19845900.00
82,7/28/2017,149.89,150.23,149.19,149.50,148.38,17213700.00
83,7/27/2017,153.75,153.99,147.30,150.56,149.43,32476300.00
84,7/26/2017,153.35,153.93,153.06,153.46,152.31,15781000.00
85,7/25/2017,151.80,153.84,151.80,152.74,151.60,18853900.00
86,7/24/2017,150.58,152.44,149.90,152.09,150.95,21493200.00
87,7/21/2017,149.99,150.44,148.88,150.27,149.15,26252600.00
88,7/20/2017,151.50,151.74,150.19,150.34,149.22,17243700.00
89,7/19/2017,150.48,151.42,149.95,151.02,149.89,20923000.00
90,7/18/2017,149.20,150.13,148.67,150.08,148.96,17868800.00
91,7/17/2017,148.82,150.90,148.57,149.56,148.44,23793500.00
92,7/14/2017,147.97,149.33,147.33,149.04,147.93,20132100.00
93,7/13/2017,145.50,148.49,145.44,147.77,146.66,25199400.00
94,7/12/2017,145.87,146.18,144.82,145.74,144.65,24884500.00
95,7/11/2017,144.73,145.85,144.38,145.53,144.44,19781800.00
96,7/10/2017,144.11,145.95,143.37,145.06,143.98,21090600.00
97,7/7/2017,142.90,144.75,142.90,144.18,143.10,19201700.00
98,7/6/2017,143.02,143.50,142.41,142.73,141.66,24128800.00
99,7/5/2017,143.69,144.79,142.72,144.09,143.01,21569600.00
100,7/3/2017,144.88,145.30,143.10,143.50,142.43,14258300.00
